SOC,V0
0.0,3.01047005
0.1,3.03191050588679
0.2,3.04957099832699
0.3,3.06590023448654
0.4,3.0809365245841
0.5,3.09516214315498
0.6,3.10847503148553
0.7000000000000001,3.12105610842054
0.8,3.13297378365246
0.8999999999999999,3.14423751290962
1.0,3.15518538526846
1.0999999999999999,3.16555482505712
1.2,3.17550501653983
1.3,3.18504442002874
1.4000000000000001,3.19430499773383
1.5,3.20321606198842
1.6,3.21177369540401
1.7000000000000002,3.22006832073437
1.7999999999999998,3.22813628770401
1.9,3.23592828632819
2.0,3.24354916095863
2.1,3.25089752306858
2.1999999999999997,3.25797621848227
2.3,3.26505418673367
2.4,3.27185519309481
2.5,3.27843277857627
2.6,3.2848534825315
2.7,3.2911778106486
2.8000000000000003,3.29732550522676
2.9000000000000004,3.30328011823731
3.0,3.30920708824557
3.1,3.31495899156649
3.2,3.32054051343919
3.3000000000000003,3.32603503287746
3.4000000000000004,3.33142252533166
3.5000000000000004,3.3366745269142
3.5999999999999996,3.3419053326949
3.6999999999999997,3.3469628763013
3.8,3.35193033823314
3.9,3.3567379281294
4.0,3.36157631231581
4.1000000000000005,3.36632801466233
4.2,3.37088839991185
4.3,3.37539582595584
4.3999999999999995,3.37987600182107
4.5,3.38428499404133
4.6,3.38848042591234
4.7,3.39272443117771
4.8,3.39685225018714
4.9,3.40093911127663
5.0,3.40500278664113
5.1,3.40881384200838
5.2,3.41270049680186
5.3,3.41651687876976
5.4,3.42022917377092
5.5,3.42395864974191
5.6000000000000005,3.42746418967136
5.7,3.43102258515172
5.800000000000001,3.43438925994899
5.8999999999999995,3.43774746416125
6.0,3.44098631591769
6.1,3.44415395364503
6.2,3.44715337924959
6.3,3.44995437035485
6.4,3.45267421609336
6.5,3.45521960043536
6.6000000000000005,3.45759101157383
6.7,3.45977802194344
6.800000000000001,3.4618222039635
6.9,3.46368568613503
7.000000000000001,3.46538047612161
7.1,3.46701283540968
7.199999999999999,3.46854336170825
7.3,3.46975340731451
7.3999999999999995,3.47092423920055
7.5,3.47194643657977
7.6,3.47299358735018
7.7,3.47390940582905
7.8,3.47468238146654
7.9,3.47551520694817
8.0,3.47620247182851
8.1,3.47699011819802
8.200000000000001,3.47768781265815
8.3,3.47839824030913
8.4,3.47906788415385
8.5,3.47967990614131
8.6,3.48038382540865
8.7,3.48109256511855
8.799999999999999,3.48170795197224
8.9,3.48237114069505
9.0,3.48298031478158
9.1,3.48363392887462
9.2,3.48430951457864
9.3,3.48488369533314
9.4,3.48559228020611
9.5,3.48621031661627
9.6,3.48685516401575
9.700000000000001,3.48742228370205
9.8,3.48806936106838
9.9,3.48875663400791
10.0,3.48933306876401
10.100000000000001,3.48991713021679
10.2,3.49063400447193
10.299999999999999,3.49111073205915
10.4,3.49179949873671
10.5,3.49241860929728
10.6,3.49302324871294
10.7,3.49368534074574
10.8,3.49422750112958
10.9,3.49488290509565
11.0,3.49549437392712
11.1,3.49611283154246
11.200000000000001,3.49668414304508
11.3,3.49731684299331
11.4,3.49784182641973
11.5,3.49847399593185
11.600000000000001,3.49909846296709
11.700000000000001,3.49969941130718
11.799999999999999,3.50040274956819
11.899999999999999,3.5009758582274
12.0,3.50162812219315
12.1,3.50228978937099
12.2,3.50288783466323
12.3,3.50352893869831
12.4,3.50419281485659
12.5,3.50481364373845
12.6,3.50550811774799
12.7,3.50622843531091
12.8,3.50692576196515
12.9,3.5076162460162
13.0,3.50835681446189
13.100000000000001,3.50909002893917
13.200000000000001,3.50986596490633
13.3,3.51078491975225
13.4,3.51159639973747
13.5,3.51240588710483
13.600000000000001,3.51329947629959
13.700000000000001,3.51419707985912
13.8,3.5152005505923
13.900000000000002,3.5160544743498
14.000000000000002,3.51703206785337
14.099999999999998,3.51797021059611
14.2,3.5188657945082
14.299999999999999,3.52000922741085
14.399999999999999,3.52088303832212
14.499999999999998,3.52184571465082
14.6,3.52279411432239
14.7,3.52381237155595
14.799999999999999,3.52466897854454
14.899999999999999,3.52570516376793
15.0,3.52652737954707
15.1,3.52749757116338
15.2,3.52844328270087
15.299999999999999,3.52933029153884
15.4,3.53027631429487
15.5,3.53122064050733
15.6,3.53206501915284
15.7,3.53295256193851
15.8,3.53382748308776
15.9,3.53467559039037
16.0,3.53561352058315
16.1,3.53647782915687
16.2,3.53730577511733
16.3,3.53814936240415
16.400000000000002,3.53894640813716
16.5,3.53992615105499
16.6,3.54073842396752
16.7,3.54148689722338
16.8,3.54239314010898
16.900000000000002,3.54325202683313
17.0,3.54411873302843
17.1,3.54483676055114
17.2,3.5456909376094
17.299999999999997,3.5465579941286
17.4,3.54734243764527
17.5,3.54821853436082
17.599999999999998,3.54900809834705
17.7,3.54979959693138
17.8,3.55061500477428
17.9,3.55149778935193
18.0,3.55232470934018
18.099999999999998,3.55308596515209
18.2,3.55391291250085
18.3,3.55476559094746
18.4,3.55560248644887
18.5,3.55646660923742
18.6,3.55722090975981
18.7,3.55812741348086
18.8,3.55899303660671
18.9,3.55978313508205
19.0,3.56062826689934
19.1,3.56145475390652
19.2,3.5622879286731
19.3,3.56309112444359
19.400000000000002,3.56397663147262
19.5,3.56476668314001
19.6,3.56559625376804
19.7,3.56641294907098
19.8,3.56722262495671
19.900000000000002,3.56809118866111
20.0,3.56892576503019
20.1,3.56960437905962
20.200000000000003,3.57045621430116
20.3,3.57119353043709
20.4,3.5719952860455
20.5,3.57276257384997
20.599999999999998,3.5735737215538
20.7,3.57431631533919
20.8,3.57505891990693
20.9,3.57581604058244
21.0,3.57663031854382
21.099999999999998,3.57723864086925
21.2,3.57799220341734
21.3,3.57877646716293
21.4,3.57948989471603
21.5,3.58015881114302
21.6,3.58090407411599
21.7,3.58155014652898
21.8,3.58220828899889
21.9,3.5829751554913
22.0,3.58360341988817
22.1,3.58434589148798
22.2,3.5849854235291
22.3,3.58565418128124
22.400000000000002,3.586334
22.5,3.58700481295506
22.6,3.58775533285109
22.7,3.58836862970873
22.8,3.58910445616338
22.900000000000002,3.58979295299958
23.0,3.59043825672985
23.1,3.59111389147901
23.200000000000003,3.59179398187136
23.3,3.59256577423147
23.400000000000002,3.59317204011041
23.5,3.59379504719961
23.599999999999998,3.59452220035736
23.7,3.59532500740174
23.799999999999997,3.59592384989064
23.9,3.59664599710204
24.0,3.59727885881966
24.099999999999998,3.59792858696417
24.2,3.5987032519185
24.3,3.59943390248931
24.4,3.6000826977729
24.5,3.60085311089724
24.6,3.60145968464899
24.7,3.60211051410043
24.8,3.60285822082097
24.9,3.60348504244443
25.0,3.60411413835391
25.1,3.60487045574411
25.2,3.6055907960494
25.3,3.60616807065441
25.4,3.60691763933997
25.5,3.60761888381187
25.6,3.60829556122519
25.7,3.60898574309601
25.8,3.60971876447297
25.900000000000002,3.61035730056325
26.0,3.61108468467889
26.1,3.61170651218258
26.200000000000003,3.61238660772022
26.3,3.61304154517819
26.400000000000002,3.61376633999963
26.5,3.61445704098298
26.6,3.61503063285943
26.700000000000003,3.61578077288739
26.8,3.61643728100506
26.900000000000002,3.61710354065795
27.0,3.61775092172548
27.1,3.61847334950631
27.200000000000003,3.61915743304184
27.3,3.61972744980301
27.400000000000002,3.62038501867594
27.500000000000004,3.62105602955599
27.6,3.62170393918966
27.700000000000003,3.62236965904601
27.800000000000004,3.62307251548355
27.900000000000002,3.62365397818741
28.000000000000004,3.62434713671989
28.1,3.62495170981515
28.199999999999996,3.62560487114054
28.299999999999997,3.62631621395065
28.4,3.62698357422769
28.499999999999996,3.6275542548302
28.599999999999998,3.62826611000187
28.7,3.62897792990402
28.799999999999997,3.62960442315997
28.9,3.63030455807562
28.999999999999996,3.63098044897382
29.099999999999998,3.63165222811304
29.2,3.63236467746686
29.299999999999997,3.63293753714099
29.4,3.63366056397927
29.5,3.63434023440787
29.599999999999998,3.63503983881048
29.7,3.63568124412676
29.799999999999997,3.63636015481928
29.9,3.63709371735988
30.0,3.63770753620002
30.099999999999998,3.6384014503173
30.2,3.63909368500455
30.3,3.63973786492947
30.4,3.6404320154471
30.5,3.64102115770755
30.599999999999998,3.64172213853222
30.7,3.64238697699047
30.8,3.64303545776393
30.9,3.64369672072543
31.0,3.6442585940955
31.1,3.64491349381161
31.2,3.64555862380146
31.3,3.64619954322852
31.4,3.64675888717065
31.5,3.64747473371072
31.6,3.6480598623773
31.7,3.64862680494874
31.8,3.64934218543601
31.900000000000002,3.64989107529155
32.0,3.65051708561668
32.1,3.65108296083697
32.2,3.65169371904469
32.300000000000004,3.65230380780049
32.4,3.65287756918868
32.5,3.6534670451461
32.6,3.65405850917785
32.7,3.65452834052181
32.800000000000004,3.65508091847518
32.9,3.65572850365037
33.0,3.65624902108444
33.1,3.65696165122445
33.2,3.65736605801429
33.300000000000004,3.65797769009212
33.4,3.6585280248379
33.5,3.65909992555449
33.6,3.65957885361638
33.7,3.6601788559395
33.800000000000004,3.66074529128219
33.900000000000006,3.66133553833017
34.0,3.66188507722756
34.1,3.66242101913039
34.2,3.66284481493266
34.300000000000004,3.66348257506278
34.4,3.66414012582026
34.5,3.6645747098085
34.599999999999994,3.66512919211433
34.699999999999996,3.66570778801306
34.8,3.6662237899413
34.9,3.66680624279398
35.0,3.66736067672094
35.099999999999994,3.66794439049627
35.199999999999996,3.66847096212762
35.3,3.6690017104961
35.4,3.66956094411248
35.5,3.67007452278187
35.6,3.67072295142582
35.699999999999996,3.67128111383713
35.8,3.67185519372451
35.9,3.67242949044397
36.0,3.67302663070709
36.1,3.67357293252623
36.199999999999996,3.67415014766829
36.3,3.67473734385961
36.4,3.67524691888481
36.5,3.67582256765917
36.6,3.67639918774199
36.7,3.67702425341019
36.8,3.6775423306872
36.9,3.67821835597851
37.0,3.67877132149959
37.1,3.6793058089625
37.2,3.67997798233351
37.3,3.68057889035114
37.4,3.68113120096941
37.5,3.68171356829682
37.6,3.68237454722483
37.7,3.68288879655731
37.8,3.68356920665213
37.9,3.68411210327757
38.0,3.68473510884901
38.1,3.68534728537766
38.2,3.68592298492471
38.3,3.68660396559422
38.4,3.68725665261213
38.5,3.68786715237634
38.6,3.68846351553401
38.7,3.68906008553185
38.800000000000004,3.68974850811346
38.9,3.69035188572593
39.0,3.69096355310409
39.1,3.69167703047022
39.2,3.6923085720457
39.300000000000004,3.69296198369654
39.4,3.69365530043604
39.5,3.69422914982191
39.6,3.69485531736659
39.7,3.69559941882171
39.800000000000004,3.6961374387568
39.900000000000006,3.69685963183777
40.0,3.69754771317923
40.1,3.69821249328765
40.2,3.69892423128978
40.300000000000004,3.69956401137399
40.400000000000006,3.70030360272964
40.5,3.70085804800638
40.6,3.70155306154903
40.699999999999996,3.70228219753284
40.8,3.70295833076371
40.9,3.70370333762151
41.0,3.70440318909017
41.099999999999994,3.70506294334777
41.199999999999996,3.70576162851818
41.3,3.70641771207916
41.4,3.70717527065418
41.5,3.70781940480955
41.6,3.70858563688989
41.699999999999996,3.70935365423118
41.8,3.71003685046479
41.9,3.71070154753991
42.0,3.71148442553611
42.1,3.71222448870693
42.199999999999996,3.71301445425371
42.3,3.71369954386294
42.4,3.71438818920361
42.5,3.71515409485314
42.6,3.71598346984647
42.699999999999996,3.71660868573406
42.8,3.7174014352525
42.9,3.7180514190339
43.0,3.71896933510649
43.1,3.71965700417409
43.2,3.72035760879051
43.3,3.72123250136444
43.4,3.72183412036802
43.5,3.72264210699576
43.6,3.72344718395689
43.7,3.72423808888871
43.8,3.72498113725083
43.9,3.72582770561688
44.0,3.72664332688313
44.1,3.72740133803733
44.2,3.72813182256053
44.3,3.72893837877028
44.4,3.72980552889047
44.5,3.73053785232764
44.6,3.73134219108846
44.7,3.7321792952251
44.800000000000004,3.73292308878491
44.9,3.73367876484645
45.0,3.73450362979944
45.1,3.73533919706481
45.2,3.73620106259167
45.300000000000004,3.73703814601686
45.4,3.73782224997231
45.5,3.73862992383781
45.6,3.73944598386759
45.7,3.74028729508132
45.800000000000004,3.74113710932823
45.9,3.74194744703542
46.0,3.74280401962857
46.1,3.74358926434637
46.2,3.74443872350206
46.300000000000004,3.74529770354286
46.400000000000006,3.74604922420578
46.5,3.7469931649136
46.6,3.74774692073836
46.7,3.74855367707025
46.800000000000004,3.74947936476023
46.9,3.75031031718186
47.0,3.75111741948199
47.099999999999994,3.75191720438805
47.199999999999996,3.75283986488965
47.3,3.75369045136093
47.4,3.7545425678889
47.5,3.75540535674231
47.599999999999994,3.75620013792299
47.699999999999996,3.75710752999296
47.8,3.75804671782968
47.9,3.75880403818296
48.0,3.75971573717837
48.1,3.76059026531234
48.199999999999996,3.76149796370937
48.3,3.76228591752271
48.4,3.76326770627801
48.5,3.76409829931392
48.6,3.76487711667273
48.699999999999996,3.76571934996245
48.8,3.76661259908996
48.9,3.76750797328041
49.0,3.76841496846751
49.1,3.76919568595786
49.2,3.77007372971122
49.3,3.77096873148634
49.4,3.77189240531609
49.5,3.77274206330879
49.6,3.77363026757856
49.7,3.77444649932466
49.8,3.7753270925625
49.9,3.77615833563111
50.0,3.77709374384954
50.1,3.77787895105824
50.2,3.77886918382812
50.3,3.77967264328617
50.4,3.78060992521587
50.5,3.78140472653486
50.6,3.78229970306479
50.7,3.78314469503567
50.8,3.78403914533663
50.9,3.78491755757931
51.0,3.78572735578477
51.1,3.78653224502169
51.2,3.78748489352333
51.300000000000004,3.788334686518
51.4,3.78923297404163
51.5,3.79005240109257
51.6,3.79089717292461
51.7,3.79170535038625
51.800000000000004,3.79260332141452
51.9,3.79341745622192
52.0,3.79427745782428
52.1,3.79515973974729
52.2,3.79601949879753
52.300000000000004,3.7968405891493
52.400000000000006,3.79767113441275
52.5,3.79852609319444
52.6,3.79939715954283
52.7,3.80018487554663
52.800000000000004,3.80100015929927
52.900000000000006,3.801797822959
53.0,3.80264690154674
53.1,3.80351056254417
53.2,3.80438590394242
53.300000000000004,3.80518858882362
53.400000000000006,3.80596547336125
53.5,3.80683361819086
53.6,3.80755887214759
53.7,3.8084036695813
53.800000000000004,3.80927277151733
53.900000000000006,3.81002479022284
54.0,3.81080871587137
54.1,3.81165484867706
54.2,3.81241425105567
54.300000000000004,3.81329223483825
54.400000000000006,3.81403483502398
54.50000000000001,3.81484998926329
54.6,3.8156905157778
54.7,3.81645913605516
54.800000000000004,3.81726170606481
54.900000000000006,3.81801882540046
55.00000000000001,3.81869581185029
55.1,3.81953193905685
55.2,3.82034059052398
55.300000000000004,3.82106933577935
55.400000000000006,3.8218857
55.50000000000001,3.82263205405055
55.60000000000001,3.823375194247
55.7,3.8241889107284
55.800000000000004,3.8249320569296
55.900000000000006,3.82563877622133
56.00000000000001,3.82641221174108
56.10000000000001,3.82712398847713
56.2,3.82792470816041
56.3,3.82865669482247
56.39999999999999,3.82941696789985
56.49999999999999,3.83015065586924
56.599999999999994,3.83087262725854
56.699999999999996,3.8316042184958
56.8,3.83234345295242
56.89999999999999,3.83310038340536
56.99999999999999,3.83390049665751
57.099999999999994,3.83459622838489
57.199999999999996,3.83530268572432
57.3,3.83601657077513
57.4,3.83679494354722
57.49999999999999,3.83750863912987
57.599999999999994,3.83827131875086
57.699999999999996,3.83896056395168
57.8,3.83964994274168
57.9,3.84034856606395
57.99999999999999,3.84105033291862
58.099999999999994,3.8418198801063
58.199999999999996,3.84257559680757
58.3,3.84317872998713
58.4,3.84395470288301
58.5,3.84469183083856
58.599999999999994,3.84535325022835
58.699999999999996,3.84606679883802
58.8,3.84683119233594
58.9,3.84743312860645
59.0,3.84812882208596
59.099999999999994,3.84883313926708
59.199999999999996,3.84963614845995
59.3,3.8503119
59.4,3.8510124780136
59.5,3.85164939131496
59.599999999999994,3.85236556830791
59.699999999999996,3.85309064021347
59.8,3.85380555
59.9,3.85439581073882
60.0,3.8552299732319
60.099999999999994,3.85590786272135
60.199999999999996,3.85660927907261
60.3,3.85720968963119
60.4,3.85791986162316
60.5,3.85858557688934
60.6,3.85924662423217
60.699999999999996,3.86000858385039
60.8,3.86078244809192
